Entry	Gene ontology IDs	Cross-reference (InterPro)
P26367	GO:0000122; GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001568; GO:0001654; GO:0003322; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006357; GO:0007417; GO:0007601; GO:0008134; GO:0009611; GO:0009887; GO:0010628; GO:0019901; GO:0021517; GO:0035035; GO:0042593; GO:0045893; GO:0045944; GO:0048663; GO:0048856; GO:0050768; GO:0061072; GO:0061303; GO:0070412; GO:1904798; GO:1990837	IPR009057;IPR017970;IPR001356;IPR043182;IPR001523;IPR043565;IPR036388;
P26368	GO:0000243; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0006397; GO:0006405; GO:0006406; GO:0008187; GO:0016607; GO:0019899; GO:0030628; GO:0031124; GO:0031397; GO:0033120; GO:0048025; GO:0070742; GO:0071004; GO:0089701	IPR012677;IPR035979;IPR000504;IPR006529;
P26371	GO:0005829; GO:0008544; GO:0031424; GO:0042802; GO:0045095	IPR002494;
P26583	GO:0000400; GO:0000785; GO:0000793; GO:0000976; GO:0000987; GO:0001938; GO:0002437; GO:0003677; GO:0003684; GO:0003690; GO:0003697; GO:0003713; GO:0003723; GO:0005615; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006265; GO:0006303; GO:0006309; GO:0006325; GO:0006334; GO:0006357; GO:0007289; GO:0008134; GO:0008301; GO:0008584; GO:0010629; GO:0019904; GO:0032075; GO:0032392; GO:0032496; GO:0032728; GO:0032991; GO:0033151; GO:0042056; GO:0043388; GO:0044378; GO:0045087; GO:0045089; GO:0045648; GO:0045654; GO:0045892; GO:0045893; GO:0045944; GO:0048471; GO:0048545; GO:0050767; GO:0050786; GO:0050829; GO:0050830; GO:0060326; GO:0071222; GO:0072091; GO:0097100; GO:1902042	IPR009071;IPR036910;IPR017967;
P26599	GO:0000381; GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005730; GO:0006397; GO:0008187; GO:0008380; GO:0008543; GO:0016020; GO:0016070; GO:0033119; GO:0035307; GO:0036002; GO:0043484; GO:0045595; GO:0048025; GO:0051148; GO:0070062; GO:0070886; GO:0075522	IPR006536;IPR012677;IPR034798;IPR021790;IPR035000;IPR035001;IPR035979;IPR000504;
P26651	GO:0000122; GO:0000165; GO:0000288; GO:0000289; GO:0000932; GO:0003677; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005829; GO:0006402; GO:0009611; GO:0010494; GO:0010837; GO:0016032; GO:0019899; GO:0019901; GO:0019957; GO:0031072; GO:0031086; GO:0032680; GO:0032703; GO:0032897; GO:0035278; GO:0035925; GO:0038066; GO:0042594; GO:0043488; GO:0044344; GO:0044877; GO:0045600; GO:0045616; GO:0045647; GO:0046872; GO:0051028; GO:0060213; GO:0061158; GO:0070063; GO:0070935; GO:0071222; GO:0071356; GO:0071364; GO:0071385; GO:0071889; GO:0097011; GO:1900153; GO:1901835; GO:1902172; GO:1904246; GO:1904582; GO:1990904; GO:2000637	IPR000571;IPR036855;
P27361	GO:0000165; GO:0000186; GO:0000187; GO:0001784; GO:0001934; GO:0004674; GO:0004707; GO:0004708; GO:0005524; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005739; GO:0005769; GO:0005770; GO:0005788; GO:0005794; GO:0005829; GO:0005856; GO:0005886; GO:0005901; GO:0005925; GO:0006361; GO:0006468; GO:0006915; GO:0006975; GO:0007049; GO:0007166; GO:0007411; GO:0007568; GO:0008543; GO:0009636; GO:0010628; GO:0010759; GO:0014066; GO:0016032; GO:0016310; GO:0018105; GO:0019233; GO:0019369; GO:0019902; GO:0030168; GO:0030278; GO:0030509; GO:0030641; GO:0030878; GO:0031143; GO:0031281; GO:0031663; GO:0032212; GO:0032872; GO:0032991; GO:0033129; GO:0033668; GO:0034198; GO:0034614; GO:0035066; GO:0035556; GO:0038083; GO:0038095; GO:0038096; GO:0042473; GO:0042802; GO:0043330; GO:0045727; GO:0045944; GO:0046697; GO:0048538; GO:0051090; GO:0051216; GO:0051403; GO:0051493; GO:0051973; GO:0060020; GO:0060324; GO:0060425; GO:0060440; GO:0061308; GO:0065003; GO:0070371; GO:0070374; GO:0070498; GO:0070849; GO:0071260; GO:0071276; GO:0071356; GO:0072584; GO:0090170; GO:0097110; GO:0106310; GO:0106311; GO:0120041; GO:1900034; GO:1903351; GO:1904355; GO:1904417; GO:2000641; GO:2000657	IPR011009;IPR003527;IPR008349;IPR000719;IPR017441;IPR008271;
P27540	GO:0000785; GO:0000978; GO:0000981; GO:0000987; GO:0001666; GO:0001892; GO:0001938; GO:0003700; GO:0004879; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0006805; GO:0008134; GO:0010575; GO:0016604; GO:0017162; GO:0030154; GO:0030949; GO:0033235; GO:0034751; GO:0042803; GO:0043565; GO:0043619; GO:0045648; GO:0045821; GO:0045944; GO:0046886; GO:0046982; GO:0061418; GO:0090575; GO:1990837	IPR011598;IPR036638;IPR001067;IPR001610;IPR000014;IPR035965;IPR013767;
P27694	GO:0000723; GO:0000724; GO:0000781; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005662; GO:0006260; GO:0006261; GO:0006268; GO:0006270; GO:0006281; GO:0006283; GO:0006284; GO:0006287; GO:0006289; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0006297; GO:0006298; GO:0006310; GO:0006974; GO:0007004; GO:0016605; GO:0019985; GO:0032201; GO:0033683; GO:0034502; GO:0036297; GO:0042276; GO:0042769; GO:0043047; GO:0046872; GO:0051321; GO:0070987; GO:0090734; GO:0098505; GO:1900034; GO:1901796	IPR012340;IPR004365;IPR013955;IPR007199;IPR031657;IPR004591;
P27695	GO:0000723; GO:0000781; GO:0003677; GO:0003684; GO:0003691; GO:0003713; GO:0003714; GO:0003723; GO:0003906; GO:0004519; GO:0004520; GO:0004523; GO:0004528; GO:0004844; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0005737; GO:0005739; GO:0005783; GO:0005813; GO:0005840; GO:0006281; GO:0006284; GO:0006286; GO:0006287; GO:0006310; GO:0007568; GO:0008081; GO:0008309; GO:0008311; GO:0008408; GO:0014912; GO:0016491; GO:0016607; GO:0016890; GO:0031490; GO:0042493; GO:0042981; GO:0043488; GO:0044877; GO:0045454; GO:0045944; GO:0046872; GO:0048471; GO:0051059; GO:0070301; GO:0071320; GO:0071375; GO:0080111; GO:0097698; GO:1900087	IPR004808;IPR020847;IPR020848;IPR036691;IPR005135;
P27797	GO:0000122; GO:0001669; GO:0001849; GO:0002474; GO:0002479; GO:0002502; GO:0003677; GO:0003723; GO:0003729; GO:0005178; GO:0005506; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005635; GO:0005737; GO:0005783; GO:0005788; GO:0005789; GO:0005790; GO:0005794; GO:0005829; GO:0005844; GO:0005925; GO:0006355; GO:0006457; GO:0006611; GO:0006874; GO:0006898; GO:0007283; GO:0008270; GO:0008284; GO:0009897; GO:0009986; GO:0010595; GO:0010628; GO:0016020; GO:0017148; GO:0022417; GO:0030133; GO:0030246; GO:0030670; GO:0030866; GO:0030968; GO:0031625; GO:0032355; GO:0033018; GO:0033116; GO:0033144; GO:0033574; GO:0034504; GO:0034975; GO:0036500; GO:0040020; GO:0042277; GO:0042493; GO:0042562; GO:0042824; GO:0042921; GO:0042981; GO:0044183; GO:0044322; GO:0045665; GO:0045787; GO:0045892; GO:0048387; GO:0048471; GO:0050681; GO:0050766; GO:0050821; GO:0051082; GO:0051087; GO:0051208; GO:0055007; GO:0060473; GO:0062023; GO:0070062; GO:0071157; GO:0071285; GO:0071556; GO:0071682; GO:0090398; GO:1900026; GO:1901164; GO:1901224; GO:1990668; GO:2000510	IPR001580;IPR018124;IPR009169;IPR009033;IPR013320;
P27986	GO:0000165; GO:0001678; GO:0001784; GO:0001953; GO:0005068; GO:0005158; GO:0005159; GO:0005168; GO:0005634; GO:0005737; GO:0005801; GO:0005829; GO:0005886; GO:0005911; GO:0005942; GO:0005943; GO:0006468; GO:0006606; GO:0006661; GO:0007173; GO:0007186; GO:0007411; GO:0008134; GO:0008286; GO:0008625; GO:0008630; GO:0010592; GO:0014065; GO:0014068; GO:0016020; GO:0016032; GO:0019221; GO:0019903; GO:0030168; GO:0030183; GO:0030335; GO:0031295; GO:0032760; GO:0032869; GO:0033120; GO:0034446; GO:0034644; GO:0034976; GO:0035014; GO:0036312; GO:0038095; GO:0038096; GO:0038128; GO:0042307; GO:0043066; GO:0043125; GO:0043548; GO:0043551; GO:0043559; GO:0043560; GO:0045671; GO:0045944; GO:0046326; GO:0046626; GO:0046854; GO:0046935; GO:0046982; GO:0048009; GO:0048010; GO:0048015; GO:0048471; GO:0050821; GO:0050852; GO:0050900; GO:0051491; GO:0051497; GO:0051897; GO:0060396; GO:0120183; GO:1900103; GO:1903078; GO:1990578	IPR044124;IPR032498;IPR035591;IPR035020;IPR035022;IPR008936;IPR000198;IPR000980;IPR036860;IPR036028;IPR001452;
P28069	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001085; GO:0001102; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0006355; GO:0006357; GO:0008285; GO:0021984; GO:0045944; GO:1990837	IPR009057;IPR017970;IPR001356;IPR010982;IPR015586;IPR013847;IPR000327;
P28070	GO:0000165; GO:0000209; GO:0000502; GO:0001530; GO:0002223; GO:0002479; GO:0002862; GO:0004175; GO:0004298; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005839; GO:0006521; GO:0010499; GO:0010972; GO:0016032; GO:0016579; GO:0019774; GO:0031145; GO:0031146; GO:0033209; GO:0036064; GO:0036388; GO:0038061; GO:0038095; GO:0043161; GO:0043488; GO:0043687; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070062; GO:0070498; GO:0090090; GO:0090263; GO:1901990; GO:1902036	IPR029055;IPR016295;IPR016050;IPR001353;IPR023333;
P28324	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003677; GO:0003682; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0030154; GO:0045944; GO:0070932; GO:1990837	IPR000418;IPR036388;IPR036390;
P28328	GO:0000038; GO:0000122; GO:0005778; GO:0005779; GO:0005829; GO:0006635; GO:0007031; GO:0008104; GO:0016020; GO:0016558; GO:0016567; GO:0016593; GO:0031648; GO:0045046; GO:0046872; GO:0048147; GO:0050680	IPR006845;IPR018957;IPR001841;IPR013083;IPR017907;
P28347	GO:0000785; GO:0000978; GO:0000981; GO:0000987; GO:0003677; GO:0003700; GO:0005654; GO:0005667; GO:0006357; GO:0006367; GO:0007399; GO:0035329; GO:0045893; GO:0045944; GO:0048568; GO:0065003; GO:0140552; GO:1902895; GO:1990837	IPR000818;IPR038096;IPR016361;IPR041086;
P28356	GO:0000122; GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0003700; GO:0005634; GO:0005654; GO:0005730; GO:0006351; GO:0006357; GO:0007338; GO:0007519; GO:0008344; GO:0009952; GO:0009954; GO:0030879; GO:0035115; GO:0035137; GO:0045944; GO:0048704; GO:0048935; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;IPR006711;
P28358	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003682; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0007338; GO:0007519; GO:0008344; GO:0009952; GO:0009954; GO:0021520; GO:0030326; GO:0035136; GO:0035137; GO:0036464; GO:0048704; GO:0048935; GO:0050905; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;
P28360	GO:0000785; GO:0000902; GO:0000977; GO:0000981; GO:0000987; GO:0001227; GO:0001228; GO:0001701; GO:0002039; GO:0003161; GO:0003198; GO:0005634; GO:0005654; GO:0006357; GO:0007517; GO:0008285; GO:0009952; GO:0010463; GO:0021983; GO:0023019; GO:0030308; GO:0030513; GO:0030901; GO:0034504; GO:0035115; GO:0035116; GO:0035880; GO:0042474; GO:0042475; GO:0042481; GO:0043066; GO:0043517; GO:0048598; GO:0048863; GO:0050821; GO:0051154; GO:0060021; GO:0060325; GO:0060349; GO:0060536; GO:0061180; GO:0061312; GO:0071316; GO:0090427; GO:1902255; GO:1990837; GO:2000678; GO:2001055	IPR009057;IPR017970;IPR001356;IPR020479;
P28370	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0006338; GO:0007420; GO:0008134; GO:0016589; GO:0030182; GO:0031491; GO:0036310; GO:0043044; GO:0043231; GO:0045893; GO:0045944; GO:0070615; GO:0090537	IPR020838;IPR014001;IPR001650;IPR009057;IPR015194;IPR036306;IPR027417;IPR001005;IPR017884;IPR015195;IPR038718;IPR000330;
P28482	GO:0000165; GO:0000186; GO:0000187; GO:0001784; GO:0003690; GO:0004674; GO:0004707; GO:0004708; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005769; GO:0005770; GO:0005788; GO:0005794; GO:0005815; GO:0005829; GO:0005856; GO:0005886; GO:0005901; GO:0005925; GO:0006468; GO:0006915; GO:0006935; GO:0006974; GO:0007049; GO:0007165; GO:0007166; GO:0007268; GO:0007411; GO:0007568; GO:0007611; GO:0008134; GO:0008353; GO:0008543; GO:0009636; GO:0010628; GO:0010759; GO:0010800; GO:0014066; GO:0014069; GO:0015966; GO:0016032; GO:0018105; GO:0018107; GO:0019233; GO:0019858; GO:0019902; GO:0030168; GO:0030278; GO:0030424; GO:0030641; GO:0030878; GO:0031143; GO:0031435; GO:0031647; GO:0031663; GO:0032212; GO:0032839; GO:0032872; GO:0032991; GO:0033598; GO:0033668; GO:0034198; GO:0034614; GO:0035094; GO:0035556; GO:0035578; GO:0038095; GO:0038096; GO:0038127; GO:0042307; GO:0042473; GO:0042802; GO:0043204; GO:0043312; GO:0043330; GO:0043627; GO:0045596; GO:0045727; GO:0045893; GO:0046697; GO:0048538; GO:0050852; GO:0050853; GO:0051090; GO:0051403; GO:0051493; GO:0051973; GO:0060020; GO:0060045; GO:0060291; GO:0060324; GO:0060425; GO:0060440; GO:0060716; GO:0061308; GO:0070371; GO:0070849; GO:0071276; GO:0071356; GO:0072584; GO:0072686; GO:0090170; GO:0097011; GO:0106310; GO:0106311; GO:0120041; GO:1900034; GO:1903351; GO:1904355; GO:1904813; GO:2000641	IPR011009;IPR003527;IPR008349;IPR000719;IPR017441;IPR008271;
P28698	GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0003700; GO:0005654; GO:0006355; GO:0042803; GO:0045944; GO:0046872	IPR003309;IPR038269;IPR036236;IPR013087;
P28702	GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0003707; GO:0004879; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0006367; GO:0008270; GO:0030154; GO:0030522; GO:0032526; GO:0044323; GO:0045893; GO:0045944; GO:0048384; GO:0048856; GO:0090575; GO:1990837	IPR035500;IPR000536;IPR001723;IPR000003;IPR001628;IPR013088;
P28749	GO:0000122; GO:0000785; GO:0000977; GO:0001102; GO:0005654; GO:0005667; GO:0006325; GO:0007049; GO:0008134; GO:0010629; GO:0016032; GO:0030154; GO:0043550; GO:0045944; GO:0051302; GO:1990841; GO:2000134; GO:2000773	IPR013763;IPR036915;IPR002720;IPR002719;IPR015030;IPR028309;IPR024599;IPR028310;
P29083	GO:0001113; GO:0005634; GO:0005654; GO:0005669; GO:0005673; GO:0005829; GO:0006366; GO:0006367; GO:0016032; GO:0016251; GO:0042795; GO:0046872; GO:0097550	IPR039997;IPR017919;IPR002853;IPR021600;IPR024550;IPR013083;IPR013137;
P29084	GO:0003677; GO:0003723; GO:0005654; GO:0005669; GO:0005673; GO:0005829; GO:0006366; GO:0006367; GO:0016251; GO:0016607; GO:0042795	IPR040501;IPR016656;IPR003166;IPR036388;IPR036390;
P29122	GO:0004175; GO:0004252; GO:0005576; GO:0005615; GO:0005783; GO:0005796; GO:0005886; GO:0008201; GO:0009100; GO:0009986; GO:0016020; GO:0016485; GO:0016486; GO:0030510; GO:0032455; GO:0032902; GO:0032940; GO:0048406; GO:0051004; GO:0062023; GO:0070268	IPR000742;IPR006212;IPR008979;IPR032778;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR010909;IPR032815;IPR038466;
P29372	GO:0003684; GO:0003905; GO:0005654; GO:0005829; GO:0006284; GO:0006287; GO:0006307; GO:0008725; GO:0042645; GO:0043916; GO:0045007; GO:0052821; GO:0052822	IPR011034;IPR003180;IPR036995;
P29373	GO:0001972; GO:0005501; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0006355; GO:0007165; GO:0008544; GO:0016918; GO:0019841; GO:0030332; GO:0035115; GO:0042573; GO:0048672; GO:0070062	IPR012674;IPR000463;IPR031259;IPR000566;
P29374	GO:0000976; GO:0003677; GO:0005634; GO:0005654; GO:0005829; GO:0005886; GO:0006349; GO:0006357; GO:0007283; GO:0017053; GO:0034773; GO:0036124; GO:0045892; GO:0045944; GO:0048821; GO:0080182; GO:0097368	IPR001606;IPR036431;IPR016197;IPR000953;IPR012603;IPR002999;IPR025995;
P29375	GO:0000976; GO:0003677; GO:0003713; GO:0005634; GO:0005654; GO:0005730; GO:0006338; GO:0007283; GO:0008270; GO:0008584; GO:0032452; GO:0032922; GO:0034647; GO:0034648; GO:0034720; GO:0035064; GO:0042393; GO:0045893; GO:0051090; GO:0051213; GO:1901726	IPR001606;IPR036431;IPR003347;IPR003349;IPR013637;IPR019786;IPR004198;IPR011011;IPR001965;IPR019787;IPR013083;
P29558	GO:0003690; GO:0003697; GO:0003723; GO:0003730; GO:0005634; GO:0005829; GO:0006260; GO:0006396; GO:0008143; GO:0008266; GO:1990904	IPR002343;IPR034404;IPR012677;IPR035979;IPR000504;
P29590	GO:0000781; GO:0000785; GO:0000792; GO:0001666; GO:0001932; GO:0002230; GO:0003677; GO:0003713; GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006355; GO:0006605; GO:0006606; GO:0006915; GO:0006919; GO:0006977; GO:0007050; GO:0007179; GO:0007182; GO:0008270; GO:0008285; GO:0008630; GO:0008631; GO:0009411; GO:0010332; GO:0010522; GO:0010761; GO:0016363; GO:0016525; GO:0016605; GO:0019058; GO:0030155; GO:0030308; GO:0030578; GO:0030851; GO:0031065; GO:0031625; GO:0031901; GO:0031965; GO:0032183; GO:0032206; GO:0032211; GO:0032469; GO:0032691; GO:0032922; GO:0032938; GO:0034097; GO:0042406; GO:0042752; GO:0042771; GO:0042802; GO:0042803; GO:0043153; GO:0043161; GO:0045087; GO:0045165; GO:0045892; GO:0045893; GO:0045930; GO:0046332; GO:0046982; GO:0048146; GO:0048384; GO:0050821; GO:0050897; GO:0051457; GO:0051607; GO:0051974; GO:0060058; GO:0060333; GO:0060444; GO:0065003; GO:0070059; GO:0071353; GO:0090398; GO:0097191; GO:0140037; GO:1901796; GO:1902187; GO:1904816; GO:1990830; GO:2000059; GO:2000779; GO:2001238	IPR021978;IPR000315;IPR001841;IPR013083;IPR017907;
P29965	GO:0002637; GO:0005125; GO:0005164; GO:0005174; GO:0005178; GO:0005615; GO:0005886; GO:0005887; GO:0006954; GO:0007159; GO:0007229; GO:0007257; GO:0009897; GO:0009986; GO:0016021; GO:0023035; GO:0030168; GO:0030183; GO:0031295; GO:0032733; GO:0032735; GO:0032753; GO:0033209; GO:0042100; GO:0042102; GO:0043066; GO:0045190; GO:0050776; GO:0051092; GO:2000353	IPR003263;IPR021184;IPR006052;IPR008983;
P30044	GO:0001016; GO:0004601; GO:0005102; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005777; GO:0005782; GO:0005829; GO:0006954; GO:0006979; GO:0008379; GO:0016209; GO:0016480; GO:0031410; GO:0032967; GO:0034599; GO:0034614; GO:0042744; GO:0043027; GO:0043066; GO:0043231; GO:0045454; GO:0048471; GO:0051354; GO:0051920; GO:0060785; GO:0070062; GO:0070995; GO:0072541; GO:2001057	IPR037944;IPR013740;IPR036249;IPR013766;
P30048	GO:0001893; GO:0005737; GO:0005739; GO:0005759; GO:0005769; GO:0005829; GO:0006979; GO:0007005; GO:0008022; GO:0008284; GO:0008379; GO:0008785; GO:0018171; GO:0019900; GO:0019901; GO:0030099; GO:0032496; GO:0032991; GO:0033673; GO:0034599; GO:0034614; GO:0042542; GO:0042744; GO:0042802; GO:0043027; GO:0043066; GO:0045454; GO:0051092; GO:0051881	IPR000866;IPR019479;IPR036249;IPR013766;
P30153	GO:0000086; GO:0000159; GO:0000184; GO:0000188; GO:0000775; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006275; GO:0006355; GO:0006470; GO:0006672; GO:0006915; GO:0007059; GO:0007084; GO:0008287; GO:0008380; GO:0010033; GO:0010389; GO:0015630; GO:0016020; GO:0016328; GO:0019888; GO:0019932; GO:0030111; GO:0030155; GO:0030308; GO:0030425; GO:0040008; GO:0042532; GO:0045595; GO:0046982; GO:0065003; GO:0070062; GO:0097711; GO:1990405	IPR011989;IPR016024;IPR000357;IPR021133;IPR031090;
P30876	GO:0000398; GO:0003677; GO:0003682; GO:0003723; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0006283; GO:0006351; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0008543; GO:0016020; GO:0016070; GO:0032549; GO:0042795; GO:0046872; GO:0048239; GO:0050434; GO:0060964	IPR015712;IPR007120;IPR037033;IPR007121;IPR007644;IPR007642;IPR037034;IPR007645;IPR007646;IPR007647;IPR007641;IPR014724;
P31146	GO:0001772; GO:0001845; GO:0001891; GO:0003723; GO:0003779; GO:0003785; GO:0005737; GO:0005769; GO:0005829; GO:0005884; GO:0005886; GO:0005911; GO:0006816; GO:0006909; GO:0007015; GO:0008022; GO:0008092; GO:0008360; GO:0016020; GO:0016477; GO:0030027; GO:0030036; GO:0030335; GO:0030424; GO:0030595; GO:0030670; GO:0030864; GO:0031339; GO:0031589; GO:0032036; GO:0032796; GO:0032956; GO:0032991; GO:0038180; GO:0042102; GO:0042803; GO:0043029; GO:0043320; GO:0043524; GO:0043548; GO:0045087; GO:0045335; GO:0048873; GO:0050918; GO:0051015; GO:0051126; GO:0051279; GO:0061502; GO:0070062; GO:0071353; GO:0098978	IPR029508;IPR015505;IPR015048;IPR015049;IPR015943;IPR001680;IPR019775;IPR017986;IPR036322;
P31249	GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0005654; GO:0006351; GO:0006357; GO:0007160; GO:0007219; GO:0009952; GO:0010628; GO:0016235; GO:0016604; GO:0021615; GO:0030878; GO:0045666; GO:0045944; GO:0048704; GO:0051216; GO:1990837	IPR025281;IPR009057;IPR001827;IPR017970;IPR001356;IPR020479;
P31260	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001501; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006357; GO:0007275; GO:0007283; GO:0007338; GO:0008584; GO:0009952; GO:0009954; GO:0030326; GO:0042826; GO:0045944; GO:0060065; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;
P31267	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0005654; GO:0006357; GO:0009952; GO:0016607; GO:0048704; GO:1990837	IPR009057;IPR017995;IPR001827;IPR017970;IPR001356;IPR020479;
P31268	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0001953; GO:0002686; GO:0005634; GO:0005654; GO:0006357; GO:0008134; GO:0009952; GO:0031965; GO:0043565; GO:0045617; GO:0045656; GO:0045892; GO:0045944; GO:0048704; GO:0048863; GO:1990837	IPR009057;IPR017995;IPR001827;IPR017970;IPR001356;IPR020479;
P31269	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0006351; GO:0006357; GO:0007275; GO:0007283; GO:0007338; GO:0008584; GO:0009952; GO:0009954; GO:0019899; GO:0030879; GO:0035115; GO:0042118; GO:0045638; GO:0048704; GO:0060065; GO:0060216; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;IPR006711;IPR017112;
P31270	GO:0000978; GO:0000981; GO:0001501; GO:0001656; GO:0001658; GO:0001759; GO:0005634; GO:0005654; GO:0005667; GO:0006357; GO:0007275; GO:0007283; GO:0007338; GO:0007501; GO:0008584; GO:0009653; GO:0009952; GO:0009953; GO:0009954; GO:0010720; GO:0030326; GO:0032332; GO:0032991; GO:0032993; GO:0035115; GO:0042733; GO:0045893; GO:0048589; GO:0048856; GO:0060065; GO:0060272; GO:0060351; GO:1990837	IPR021918;IPR009057;IPR017970;IPR001356;IPR020479;
P31271	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001501; GO:0001570; GO:0001886; GO:0001894; GO:0003281; GO:0003677; GO:0005654; GO:0005694; GO:0006357; GO:0030510; GO:0030539; GO:0035115; GO:0043565; GO:0045111; GO:0045840; GO:0048839; GO:0048844; GO:0060442; GO:0060847; GO:1990837; GO:2001055	IPR009057;IPR017970;IPR001356;IPR022067;
P31273	GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0005654; GO:0006357; GO:0007275; GO:0015630; GO:1990837	IPR009057;IPR001827;IPR017970;IPR001356;IPR020479;IPR000047;
P31274	GO:0000785; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0005654; GO:0006351; GO:0006357; GO:0009952; GO:0009954; GO:0016235; GO:0048704; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;IPR006711;IPR017112;
P31275	GO:0000981; GO:0005634; GO:0007275; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;
P31276	GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001228; GO:0001942; GO:0003682; GO:0003700; GO:0005634; GO:0006357; GO:0009653; GO:0009952; GO:0035878; GO:0043587; GO:0045893; GO:0140297; GO:1990837	IPR009057;IPR017970;IPR001356;IPR022067;
P31277	GO:0000785; GO:0000978; GO:0000981; GO:0001658; GO:0005634; GO:0005654; GO:0006357; GO:0009953; GO:0048856; GO:1990837	IPR021918;IPR009057;IPR017970;IPR001356;IPR020479;
P31314	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0006357; GO:0048513	IPR009057;IPR017970;IPR001356;IPR020479;IPR042247;
P31350	GO:0000083; GO:0004748; GO:0005829; GO:0006260; GO:0009263; GO:0015949; GO:0046872; GO:0070317	IPR009078;IPR012348;IPR033909;IPR030475;IPR000358;
P31483	GO:0001818; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006915; GO:0008143; GO:0008543; GO:0010494; GO:0017148; GO:0035925; GO:0048024; GO:0097165; GO:1903608; GO:1904037; GO:1990904	IPR012677;IPR035979;IPR000504;IPR003954;IPR034830;IPR034832;
P31629	GO:0000978; GO:0000981; GO:0003677; GO:0005634; GO:0005654; GO:0006357; GO:0046872	IPR036236;IPR013087;
