Entry	Name	GO annotations	Interpro domains	DeepTF score	GO annotations no IEA
P19838	NFKB1	GO:0000122 GO:0045944 GO:0071222 GO:0000976 GO:0000976 GO:0000976 GO:0000977 GO:0000978 GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0001227 GO:0001228 GO:0003682 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0042805 GO:0000122 GO:0000122 GO:0006357 GO:0006366 GO:0006915 GO:0006954 GO:0007254 GO:0010629 GO:0010744 GO:0010884 GO:0010956 GO:0010957 GO:0032269 GO:0032375 GO:0032695 GO:0035994 GO:0043066 GO:0045893 GO:0045893 GO:0045893 GO:0045944 GO:0050728 GO:0071260 GO:0071316 GO:0071347 GO:0071354 GO:0071356 GO:0071359 GO:0090263 GO:0098586 GO:1900127 GO:1904385 GO:2000630 GO:0005576 GO:0005576 GO:0005634 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005737 GO:0005739 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0034774 GO:0035580 GO:0000785 GO:0005634 GO:0005737 GO:0033256	IPR002110;IPR020683;IPR036770;IPR011029;IPR000488;IPR013783;IPR014756;IPR002909;IPR033926;IPR030503;IPR000451;IPR008967;IPR030492;IPR032397;IPR011539;IPR037059;	0.9969	GO:0000122 GO:0045944 GO:0071222 GO:0000976 GO:0000976 GO:0000976 GO:0000977 GO:0000978 GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0001227 GO:0001228 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0042805 GO:0000122 GO:0000122 GO:0006357 GO:0006366 GO:0006954 GO:0010629 GO:0010744 GO:0010884 GO:0010956 GO:0010957 GO:0032269 GO:0032375 GO:0043066 GO:0045893 GO:0045893 GO:0045893 GO:0045944 GO:0071260 GO:0071316 GO:0071347 GO:0071354 GO:0090263 GO:1900127 GO:1904385 GO:2000630 GO:0005576 GO:0005576 GO:0005634 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005737 GO:0005739 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0034774 GO:0035580 GO:0000785 GO:0005634 GO:0005737 GO:0033256
P20226	TBP	GO:0006383 GO:0000976 GO:0000976 GO:0000976 GO:0000978 GO:0000979 GO:0000995 GO:0001046 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001093 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0016251 GO:0016251 GO:0016251 GO:0017162 GO:0019899 GO:0019899 GO:0140223 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0006352 GO:0006366 GO:0006366 GO:0006366 GO:0006367 GO:0006383 GO:0006468 GO:0006468 GO:0042789 GO:0042789 GO:0051123 GO:0051123 GO:0060261 GO:0060261 GO:0000785 GO:0000791 GO:0001939 GO:0001940 GO:0005634 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005669 GO:0005737 GO:0005669 GO:0005669 GO:0005669 GO:0005669 GO:0005669 GO:0005672 GO:0032991 GO:0097550	IPR000814;IPR030491;IPR012295;IPR033710;	0.9995	GO:0006383 GO:0000976 GO:0000976 GO:0000976 GO:0000979 GO:0000995 GO:0001046 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001091 GO:0001093 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0016251 GO:0016251 GO:0016251 GO:0017162 GO:0019899 GO:0019899 GO:0140223 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0006352 GO:0006366 GO:0006366 GO:0006366 GO:0006367 GO:0006383 GO:0006468 GO:0006468 GO:0042789 GO:0042789 GO:0051123 GO:0051123 GO:0060261 GO:0060261 GO:0000785 GO:0000791 GO:0005634 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005669 GO:0005669 GO:0005669 GO:0005669 GO:0005669 GO:0005669 GO:0005672 GO:0032991 GO:0097550
P20248	CCNA2	GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0016538 GO:0016538 GO:0019901 GO:0019901 GO:0019901 GO:0019904 GO:0000079 GO:0000086 GO:0006275 GO:0007265 GO:0016572 GO:0031100 GO:0031100 GO:0033762 GO:0033762 GO:0036120 GO:0036120 GO:0044320 GO:0044320 GO:0044772 GO:0044843 GO:0045893 GO:0048146 GO:0048146 GO:0051301 GO:0071314 GO:0071314 GO:0071373 GO:0071373 GO:0071392 GO:0071392 GO:0071456 GO:0071456 GO:0071732 GO:0071732 GO:0090102 GO:0090102 GO:1990314 GO:1990314 GO:0005634 GO:0005737 GO:0001939 GO:0001940 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005737 GO:0005737 GO:0005829 GO:0097124 GO:0000307 GO:0000307 GO:0097124 GO:0097124 GO:0097124 GO:0097124 GO:0097124	IPR039361;IPR032447;IPR013763;IPR036915;IPR004367;IPR006671;	0.0076	GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0016538 GO:0016538 GO:0019901 GO:0019901 GO:0019901 GO:0019904 GO:0000079 GO:0000086 GO:0006275 GO:0007265 GO:0016572 GO:0044772 GO:0044843 GO:0005634 GO:0005737 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005737 GO:0005737 GO:0005829 GO:0097124 GO:0000307 GO:0000307 GO:0097124 GO:0097124 GO:0097124 GO:0097124 GO:0097124
P20264	POU3F3	GO:0000978 GO:0000981 GO:0000981 GO:0003700 GO:0042803 GO:0043565 GO:0071837 GO:0006357 GO:0007417 GO:0007588 GO:0008284 GO:0010628 GO:0021799 GO:0021869 GO:0043066 GO:0045892 GO:0045893 GO:0045893 GO:0045893 GO:0045944 GO:0048878 GO:0072218 GO:0072227 GO:0072233 GO:0072236 GO:0072240 GO:0005634 GO:0005634 GO:0005654 GO:0000785	IPR009057;IPR017970;IPR001356;IPR010982;IPR013847;IPR000327;IPR016362;	0.9969	GO:0000978 GO:0000981 GO:0000981 GO:0003700 GO:0042803 GO:0043565 GO:0006357 GO:0007417 GO:0008284 GO:0010628 GO:0043066 GO:0045892 GO:0045893 GO:0045893 GO:0045893 GO:0072218 GO:0072227 GO:0072233 GO:0072236 GO:0072240 GO:0005634 GO:0005634 GO:0005654 GO:0000785
P20265	POU3F2	GO:0008284 GO:0000978 GO:0000981 GO:0000981 GO:0001228 GO:0003677 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:1990837 GO:0006357 GO:0006357 GO:0007399 GO:0008544 GO:0010629 GO:0014002 GO:0021799 GO:0021869 GO:0021979 GO:0021985 GO:0022011 GO:0030182 GO:0040018 GO:0045595 GO:0045944 GO:0048663 GO:0048665 GO:0048666 GO:0050770 GO:0071310 GO:0005654 GO:0005654 GO:0000785 GO:0005667	IPR009057;IPR017970;IPR001356;IPR010982;IPR013847;IPR000327;IPR016362;	0.9962	GO:0008284 GO:0000978 GO:0000981 GO:0000981 GO:0003677 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:1990837 GO:0006357 GO:0006357 GO:0007399 GO:0030182 GO:0045944 GO:0048663 GO:0048665 GO:0048666 GO:0005654 GO:0005654 GO:0000785
P20290	BTF3	GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0001701 GO:0015031 GO:1905551 GO:0005829 GO:0042788 GO:0005634 GO:0005737 GO:0005829 GO:0005854 GO:0005854	IPR039370;IPR038187;IPR002715;	0.0234	GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1905551 GO:0005829 GO:0042788 GO:0005634 GO:0005737 GO:0005829 GO:0005854 GO:0005854
P20393	NR1D1	GO:0042632 GO:0000122 GO:0000976 GO:0000977 GO:0000978 GO:0000978 GO:0000978 GO:0000981 GO:0001222 GO:0001222 GO:0001227 GO:0003707 GO:0004879 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008270 GO:0020037 GO:0070888 GO:1990837 GO:0000122 GO:0000122 GO:0000122 GO:0001678 GO:0005978 GO:0009755 GO:0010498 GO:0019216 GO:0030154 GO:0030522 GO:0031648 GO:0032922 GO:0034144 GO:0042632 GO:0042749 GO:0042752 GO:0043124 GO:0043401 GO:0044321 GO:0044321 GO:0045598 GO:0045892 GO:0045892 GO:0045892 GO:0045892 GO:0045892 GO:0045893 GO:0045944 GO:0050728 GO:0060086 GO:0061178 GO:0061469 GO:0061889 GO:0070859 GO:0071222 GO:0071347 GO:0071356 GO:0120163 GO:0150079 GO:1903979 GO:0000785 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005737 GO:0016604 GO:0030425 GO:0043197 GO:0000785	IPR035500;IPR000536;IPR001723;IPR001628;IPR013088;	0.9718	GO:0042632 GO:0000122 GO:0000976 GO:0000977 GO:0000978 GO:0000978 GO:0000978 GO:0000981 GO:0001222 GO:0001222 GO:0001227 GO:0003707 GO:0004879 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0020037 GO:1990837 GO:0000122 GO:0000122 GO:0000122 GO:0001678 GO:0005978 GO:0009755 GO:0010498 GO:0019216 GO:0030154 GO:0031648 GO:0032922 GO:0034144 GO:0042632 GO:0042749 GO:0042752 GO:0043124 GO:0044321 GO:0044321 GO:0045598 GO:0045892 GO:0045892 GO:0045892 GO:0045892 GO:0045892 GO:0045893 GO:0045944 GO:0050728 GO:0060086 GO:0061178 GO:0061469 GO:0061889 GO:0070859 GO:0071222 GO:0071347 GO:0071356 GO:0120163 GO:0150079 GO:1903979 GO:0000785 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005737 GO:0016604 GO:0030425 GO:0043197 GO:0000785
P20618	PSMB1	GO:0004298 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008233 GO:0010498 GO:0005634 GO:0005576 GO:0005576 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0034774 GO:0070062 GO:0070062 GO:1904813 GO:0000502 GO:0005839 GO:0005839 GO:0019774 GO:0019774	IPR029055;IPR035202;IPR016050;IPR001353;IPR023333;	0.006	GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008233 GO:0010498 GO:0005634 GO:0005576 GO:0005576 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0034774 GO:0070062 GO:0070062 GO:1904813 GO:0000502 GO:0005839 GO:0005839 GO:0019774 GO:0019774
P20719	HOXA5	GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0001228 GO:0003677 GO:0003700 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1990837 GO:0003016 GO:0006357 GO:0009952 GO:0010628 GO:0016477 GO:0016525 GO:0016525 GO:0030878 GO:0033599 GO:0035264 GO:0043065 GO:0045639 GO:0045647 GO:0045944 GO:0045944 GO:0048286 GO:0048704 GO:0060435 GO:0060441 GO:0060480 GO:0060484 GO:0060535 GO:0060574 GO:0060638 GO:0060644 GO:0060749 GO:0060764 GO:0005634 GO:0005634 GO:0000785	IPR009057;IPR017995;IPR001827;IPR017970;IPR001356;IPR020479;	0.983	GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0001228 GO:0003677 GO:0003700 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1990837 GO:0006357 GO:0009952 GO:0010628 GO:0016525 GO:0016525 GO:0043065 GO:0045639 GO:0045647 GO:0045944 GO:0045944 GO:0005634 GO:0005634 GO:0000785
P20749	BCL3	GO:0042771 GO:0003713 GO:0003714 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0030674 GO:0042826 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0002268 GO:0002315 GO:0002455 GO:0002467 GO:0006606 GO:0006974 GO:0007249 GO:0009615 GO:0010225 GO:0019730 GO:0030198 GO:0030330 GO:0032088 GO:0032717 GO:0032720 GO:0032729 GO:0032733 GO:0042088 GO:0042742 GO:0042832 GO:0042981 GO:0043066 GO:0045064 GO:0045727 GO:0045892 GO:0045893 GO:0045944 GO:0046426 GO:0048536 GO:0051101 GO:1901222 GO:0005634 GO:0005634 GO:0005634 GO:0005654 GO:0005737 GO:0005829 GO:0005886 GO:0030496 GO:0043231 GO:0048471 GO:0032991 GO:0032996 GO:0033257	IPR002110;IPR020683;IPR036770;	0.999	GO:0042771 GO:0003714 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0030674 GO:0042826 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0140297 GO:0006606 GO:0006974 GO:0007249 GO:0009615 GO:0010225 GO:0030330 GO:0032088 GO:0032717 GO:0042981 GO:0043066 GO:0045727 GO:0045892 GO:0045893 GO:0046426 GO:0051101 GO:1901222 GO:0005634 GO:0005634 GO:0005634 GO:0005654 GO:0005737 GO:0005829 GO:0005886 GO:0030496 GO:0043231 GO:0032991 GO:0032996 GO:0033257
P20794	MAK	GO:0003713 GO:0004672 GO:0004674 GO:0004712 GO:0004712 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0046872 GO:0106310 GO:0006468 GO:0007283 GO:0030154 GO:0035556 GO:0042073 GO:0045494 GO:0045893 GO:0046777 GO:0060271 GO:1902856 GO:0005634 GO:0005737 GO:0005929 GO:0001750 GO:0001917 GO:0005634 GO:0005813 GO:0005930 GO:0030496 GO:0031514 GO:0032391 GO:0072686	IPR011009;IPR000719;IPR017441;IPR008271;	0.0152	GO:0003713 GO:0004672 GO:0004674 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0006468 GO:0007283 GO:0035556 GO:0042073 GO:0045494 GO:0046777 GO:0060271 GO:0005634 GO:0005737 GO:0005929 GO:0001750 GO:0001917 GO:0005634 GO:0005813 GO:0030496 GO:0072686
P20807	CAPN3	GO:0003824 GO:0004198 GO:0004198 GO:0004198 GO:0004198 GO:0005509 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008233 GO:0008233 GO:0008234 GO:0008307 GO:0031402 GO:0031432 GO:0031432 GO:0055103 GO:0060090 GO:0006508 GO:0006508 GO:0006508 GO:0006508 GO:0006508 GO:0006915 GO:0007517 GO:0014718 GO:0014850 GO:0030163 GO:0030163 GO:0030239 GO:0030239 GO:0031648 GO:0033234 GO:0043066 GO:0043066 GO:0043122 GO:0045214 GO:0045661 GO:0045862 GO:0045892 GO:0045893 GO:0046716 GO:0050790 GO:0051092 GO:0051281 GO:0051592 GO:0061061 GO:0065003 GO:0070315 GO:0071277 GO:0071472 GO:0072657 GO:0097264 GO:1990092 GO:0005737 GO:0005622 GO:0005634 GO:0005730 GO:0005737 GO:0005737 GO:0005829 GO:0005886 GO:0005886 GO:0030016 GO:0030018 GO:0030315 GO:0032991	IPR033883;IPR022684;IPR022682;IPR022683;IPR036213;IPR029531;IPR011992;IPR018247;IPR002048;IPR038765;IPR000169;IPR001300;	0.0188	GO:0003824 GO:0004198 GO:0004198 GO:0004198 GO:0004198 GO:0005509 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008233 GO:0008233 GO:0008234 GO:0008307 GO:0031402 GO:0031432 GO:0031432 GO:0055103 GO:0060090 GO:0006508 GO:0006508 GO:0006508 GO:0006508 GO:0006508 GO:0006915 GO:0007517 GO:0014718 GO:0014850 GO:0030163 GO:0030163 GO:0030239 GO:0030239 GO:0031648 GO:0033234 GO:0043066 GO:0043066 GO:0043122 GO:0045214 GO:0045862 GO:0045892 GO:0045893 GO:0046716 GO:0050790 GO:0051092 GO:0051281 GO:0051592 GO:0061061 GO:0065003 GO:0071277 GO:0071472 GO:0072657 GO:0097264 GO:1990092 GO:0005737 GO:0005622 GO:0005634 GO:0005730 GO:0005737 GO:0005737 GO:0005829 GO:0005886 GO:0005886 GO:0030016 GO:0030018 GO:0030315 GO:0032991
